profile_name,year,period,timestep,value
NL_Wind_Offshore,2030,1,128,0.69752244
NL_Wind_Offshore,2030,1,129,0.711554435
NL_Wind_Offshore,2030,1,130,0.74876603
NL_Wind_Offshore,2030,1,131,0.739375593
NL_Wind_Offshore,2030,1,132,0.791246617
NL_Wind_Offshore,2030,1,133,0.852147086
NL_Wind_Offshore,2030,1,134,0.900318663
NL_Wind_Offshore,2030,1,135,0.863930271
NL_Wind_Offshore,2030,1,136,0.820830228
NL_Wind_Offshore,2030,1,137,0.879467775
NL_Wind_Offshore,2030,1,138,0.926096078
NL_Wind_Offshore,2030,1,139,0.929923012
NL_Wind_Offshore,2030,1,140,0.946382154
NL_Wind_Offshore,2030,1,141,0.901063247
NL_Wind_Offshore,2030,1,142,0.854592113
NL_Wind_Offshore,2030,1,143,0.844771218
NL_Wind_Offshore,2030,1,144,0.734226954
NL_Wind_Offshore,2030,1,145,0.631019917
NL_Wind_Offshore,2030,1,146,0.603553717
NL_Wind_Offshore,2030,1,147,0.544735503
NL_Wind_Offshore,2030,1,148,0.46540923
NL_Wind_Offshore,2030,1,149,0.405367288
NL_Wind_Offshore,2030,1,150,0.436530212
NL_Wind_Offshore,2030,1,151,0.461924894
NL_Wind_Offshore,2030,1,152,0.581976597
NL_Wind_Offshore,2030,1,153,0.663406212
NL_Wind_Offshore,2030,1,154,0.874880175
NL_Wind_Offshore,2030,1,155,0.940131148
NL_Wind_Offshore,2030,1,156,0.973436268
NL_Wind_Offshore,2030,1,157,0.976901491
NL_Wind_Offshore,2030,1,158,0.971822186
NL_Wind_Offshore,2030,1,159,0.976321166
NL_Wind_Offshore,2030,1,160,0.977370765
NL_Wind_Offshore,2030,1,161,0.978453575
NL_Wind_Offshore,2030,1,162,0.979057408
NL_Wind_Offshore,2030,1,163,0.979154786
NL_Wind_Offshore,2030,1,164,0.97919652
NL_Wind_Offshore,2030,1,165,0.979198196
NL_Wind_Offshore,2030,1,166,0.979198885
NL_Wind_Offshore,2030,1,167,0.979199753
NL_Wind_Offshore,2030,1,168,0.979196837
NL_Wind_Offshore,2030,1,169,0.979169097
NL_Wind_Offshore,2030,1,170,0.979197849
NL_Wind_Offshore,2030,1,171,0.979199529
NL_Wind_Offshore,2030,1,172,0.97919998
NL_Wind_Offshore,2030,1,173,0.979199996
NL_Wind_Offshore,2030,1,174,0.979199999
NL_Wind_Offshore,2030,1,175,0.979198696
NL_Wind_Offshore,2030,1,176,0.979172188
NL_Wind_Offshore,2030,1,177,0.858551153
NL_Wind_Offshore,2030,1,178,0.849130719
NL_Wind_Offshore,2030,1,179,0.957938779
NL_Wind_Offshore,2030,1,180,0.921217957
NL_Wind_Offshore,2030,1,181,0.823203478
NL_Wind_Offshore,2030,1,182,0.787453288
NL_Wind_Offshore,2030,1,183,0.816028591
NL_Wind_Offshore,2030,1,184,0.937739166
NL_Wind_Offshore,2030,1,185,0.975399963
NL_Wind_Offshore,2030,1,186,0.957066195
NL_Wind_Offshore,2030,1,187,0.978921115
NL_Wind_Offshore,2030,1,188,0.978780323
NL_Wind_Offshore,2030,1,189,0.978206837
NL_Wind_Offshore,2030,1,190,0.976339599
NL_Wind_Offshore,2030,1,191,0.9649794
NL_Wind_Offshore,2030,1,192,0.974670727
NL_Wind_Offshore,2030,1,193,0.979061252
NL_Wind_Offshore,2030,1,194,0.979193873
NL_Wind_Offshore,2030,1,195,0.979199999
NL_Wind_Offshore,2030,1,196,0.975883913
NL_Wind_Offshore,2030,1,197,0.554825452
NL_Wind_Offshore,2030,1,198,0.434306261
NL_Wind_Offshore,2030,1,199,0.492169108
NL_Wind_Offshore,2030,1,200,0.439326052
NL_Wind_Offshore,2030,1,201,0.161708926
NL_Wind_Offshore,2030,1,202,0.408445554
NL_Wind_Offshore,2030,1,203,0.977994376
NL_Wind_Offshore,2030,1,204,0.928343375
NL_Wind_Offshore,2030,1,205,0.976213746
NL_Wind_Offshore,2030,1,206,0.9792
NL_Wind_Offshore,2030,1,207,0.9792
NL_Wind_Offshore,2030,1,208,0.979191702
NL_Wind_Offshore,2030,1,209,0.973367755
NL_Wind_Offshore,2030,1,210,0.976933423
NL_Wind_Offshore,2030,1,211,0.978137357
NL_Wind_Offshore,2030,1,212,0.884563862
NL_Wind_Offshore,2030,1,213,0.622516643
NL_Wind_Offshore,2030,1,214,0.672193818
NL_Wind_Offshore,2030,1,215,0.936519411
NL_Wind_Offshore,2030,1,216,0.977710051
NL_Wind_Offshore,2030,1,217,0.971466001
NL_Wind_Offshore,2030,1,218,0.940030704
NL_Wind_Offshore,2030,1,219,0.931176045
NL_Wind_Offshore,2030,1,220,0.937664225
NL_Wind_Offshore,2030,1,221,0.84968465
NL_Wind_Offshore,2030,1,222,0.733899295
NL_Wind_Offshore,2030,1,223,0.511801219
NL_Wind_Offshore,2030,1,224,0.496629955
NL_Wind_Offshore,2030,1,225,0.31060572
NL_Wind_Offshore,2030,1,226,0.238429281
NL_Wind_Offshore,2030,1,227,0.554970864
NL_Wind_Offshore,2030,1,228,0.880075055
NL_Wind_Offshore,2030,1,229,0.825117634
NL_Wind_Offshore,2030,1,230,0.728302193
NL_Wind_Offshore,2030,1,231,0.679993346
NL_Wind_Offshore,2030,1,232,0.601449245
NL_Wind_Offshore,2030,1,233,0.472786528
NL_Wind_Offshore,2030,1,234,0.598050291
NL_Wind_Offshore,2030,1,235,0.885802391
NL_Wind_Offshore,2030,1,236,0.961310727
NL_Wind_Offshore,2030,1,237,0.978544483
NL_Wind_Offshore,2030,1,238,0.979187304
NL_Wind_Offshore,2030,1,239,0.979195574
NL_Wind_Offshore,2030,1,240,0.979198405
NL_Wind_Offshore,2030,1,241,0.979199091
NL_Wind_Offshore,2030,1,242,0.979199689
NL_Wind_Offshore,2030,1,243,0.979198843
NL_Wind_Offshore,2030,1,244,0.979199901
NL_Wind_Offshore,2030,1,245,0.9792
NL_Wind_Offshore,2030,1,246,0.9792
NL_Wind_Offshore,2030,1,247,0.9792
NL_Wind_Offshore,2030,1,248,0.979199997
NL_Wind_Offshore,2030,1,249,0.979089231
NL_Wind_Offshore,2030,1,250,0.9792
NL_Wind_Offshore,2030,1,251,0.9792
NL_Wind_Offshore,2030,1,252,0.9792
NL_Wind_Offshore,2030,1,253,0.9792
NL_Wind_Offshore,2030,1,254,0.9792
NL_Wind_Offshore,2030,1,255,0.979199736
NL_Wind_Offshore,2030,1,256,0.979195402
NL_Wind_Offshore,2030,1,257,0.979199923
NL_Wind_Offshore,2030,1,258,0.979199944
NL_Wind_Offshore,2030,1,259,0.979199991
NL_Wind_Offshore,2030,1,260,0.979199966
NL_Wind_Offshore,2030,1,261,0.979199308
NL_Wind_Offshore,2030,1,262,0.979199906
NL_Wind_Offshore,2030,1,263,0.979199937
NL_Wind_Offshore,2030,1,264,0.979199846
NL_Wind_Offshore,2030,1,265,0.979199604
NL_Wind_Offshore,2030,1,266,0.979199658
NL_Wind_Offshore,2030,1,267,0.979199993
NL_Wind_Offshore,2030,1,268,0.979199871
NL_Wind_Offshore,2030,1,269,0.979199999
NL_Wind_Offshore,2030,1,270,0.9792
NL_Wind_Offshore,2030,1,271,0.9792
NL_Wind_Offshore,2030,1,272,0.9792
NL_Wind_Offshore,2030,1,273,0.9792
NL_Wind_Offshore,2030,1,274,0.9792
NL_Wind_Offshore,2030,1,275,0.944891236
NL_Wind_Offshore,2030,1,276,0.952911756
NL_Wind_Offshore,2030,1,277,0.9792
NL_Wind_Offshore,2030,1,278,0.977108611
NL_Wind_Offshore,2030,1,279,0.971806764
NL_Wind_Offshore,2030,1,280,0.9792
NL_Wind_Offshore,2030,1,281,0.9792
NL_Wind_Offshore,2030,1,282,0.979199793
NL_Wind_Offshore,2030,1,283,0.979197101
NL_Wind_Offshore,2030,1,284,0.97919166
NL_Wind_Offshore,2030,1,285,0.976204318
NL_Wind_Offshore,2030,1,286,0.707156667
